Company,Date,Open,High,Low,Close,Volume
NSE 20 SHARE INDEX,2014-02-20,4806.69,4806.69,4806.69,4806.69,37044800
NSE 20 SHARE INDEX,2014-02-19,4786.18,4786.18,4786.18,4786.18,21564100
NSE 20 SHARE INDEX,2014-02-18,4797.2,4797.2,4797.2,4797.2,12922200
NSE 20 SHARE INDEX,2014-02-17,4806.73,4806.73,4806.73,4806.73,15566400
NSE 20 SHARE INDEX,2014-02-14,4838.47,4838.47,4838.47,4838.47,7901300
NSE 20 SHARE INDEX,2014-02-13,4839.52,4839.52,4839.52,4839.52,22249700
NSE 20 SHARE INDEX,2014-02-12,4842.22,4842.22,4842.22,4842.22,18621900
NSE 20 SHARE INDEX,2014-02-11,4833.36,4833.36,4833.36,4833.36,28586900
NSE 20 SHARE INDEX,2014-02-10,4818.28,4818.28,4818.28,4818.28,19968400
NSE 20 SHARE INDEX,2014-02-07,4831.8,4831.8,4831.8,4831.8,17673700
NSE 20 SHARE INDEX,2014-02-06,4843.9,4843.9,4843.9,4843.9,37159700
NSE 20 SHARE INDEX,2014-02-05,4870.43,4870.43,4870.43,4870.43,8968300
NSE 20 SHARE INDEX,2014-02-04,4883.9,4883.9,4883.9,4883.9,19461700
NSE 20 SHARE INDEX,2014-02-03,4828.34,4828.34,4828.34,4828.34,24671200
NSE 20 SHARE INDEX,2014-01-31,4856.15,4856.15,4856.15,4856.15,24020900
NSE 20 SHARE INDEX,2014-01-30,4960.99,4960.99,4960.99,4960.99,40080200
NSE 20 SHARE INDEX,2014-01-29,5015.67,5015.67,5015.67,5015.67,26751300
NSE 20 SHARE INDEX,2014-01-28,5060.53,5060.53,5060.53,5060.53,18958500
NSE 20 SHARE INDEX,2014-01-27,5078.13,5078.13,5078.13,5078.13,59625500
NSE 20 SHARE INDEX,2014-01-24,5091.3,5091.3,5091.3,5091.3,22600300
NSE 20 SHARE INDEX,2014-01-23,5063.98,5063.98,5063.98,5063.98,25000100
NSE 20 SHARE INDEX,2014-01-22,5092.16,5092.16,5092.16,5092.16,17415300
NSE 20 SHARE INDEX,2014-01-21,5075.06,5075.06,5075.06,5075.06,26625900
NSE 20 SHARE INDEX,2014-01-20,5023.12,5023.12,5023.12,5023.12,23690000
NSE 20 SHARE INDEX,2014-01-17,5018.58,5018.58,5018.58,5018.58,7853300
NSE 20 SHARE INDEX,2014-01-16,5021.07,5021.07,5021.07,5021.07,15398600
NSE 20 SHARE INDEX,2014-01-15,5058.51,5058.51,5058.51,5058.51,18849400
NSE 20 SHARE INDEX,2014-01-14,5023.05,5023.05,5023.05,5023.05,15561400
NSE 20 SHARE INDEX,2014-01-13,5017.2,5017.2,5017.2,5017.2,22395200
NSE 20 SHARE INDEX,2014-01-10,5059.52,5059.52,5059.52,5059.52,39727100
NSE 20 SHARE INDEX,2014-01-09,5044.35,5044.35,5044.35,5044.35,35233900
NSE 20 SHARE INDEX,2014-01-08,5010.93,5010.93,5010.93,5010.93,11480700
NSE 20 SHARE INDEX,2014-01-07,4993.12,4993.12,4993.12,4993.12,9809900
NSE 20 SHARE INDEX,2014-01-06,4940.51,4940.51,4940.51,4940.51,14783700
NSE 20 SHARE INDEX,2014-01-03,4901.12,4901.12,4901.12,4901.12,8214600
NSE 20 SHARE INDEX,2014-01-02,4910.74,4910.74,4910.74,4910.74,10447100
NSE 20 SHARE INDEX,2013-12-31,4926.97,4926.97,4926.97,4926.97,10095000
