Company,Date,Open,High,Low,Close,Volume
NGSE ALL SHARE INDEX,2013-07-09,36790.14,37093.22,36790.14,37014.14,289252192
NGSE ALL SHARE INDEX,2013-07-08,36926.29,36926.29,36766.87,36790.14,188545664
NGSE ALL SHARE INDEX,2013-07-05,36509.64,37021.67,36372.04,36926.29,419933440
NGSE ALL SHARE INDEX,2013-07-04,35949.01,36514.43,35948.58,36509.64,511337248
NGSE ALL SHARE INDEX,2013-07-03,36043.48,36063.7,35945.99,35949.01,1763195648
NGSE ALL SHARE INDEX,2013-07-02,35832.16,36069.14,35832.16,36043.48,463014176
NGSE ALL SHARE INDEX,2013-07-01,36164.31,36172.16,35819.69,35832.16,310775520
NGSE ALL SHARE INDEX,2013-06-28,36468.25,36538.27,36153.06,36164.31,774834560
NGSE ALL SHARE INDEX,2013-06-27,36095.28,36501.45,36095.28,36468.25,357266432
NGSE ALL SHARE INDEX,2013-06-26,35751.4,36244.19,35730.77,36095.28,448977760
NGSE ALL SHARE INDEX,2013-06-25,36464.35,36544.2,34835.5,35751.4,461276480
NGSE ALL SHARE INDEX,2013-06-24,36464.39,36497.13,35849.2,36464.35,414032768
NGSE ALL SHARE INDEX,2013-06-21,36963.77,36973.93,36441.6,36464.39,440698112
NGSE ALL SHARE INDEX,2013-06-20,37135.74,37314.11,36890.3,36963.77,292603488
NGSE ALL SHARE INDEX,2013-06-19,37024.72,37135.36,36698.84,37135.36,345939200
NGSE ALL SHARE INDEX,2013-06-18,37085.12,37293.29,36953.23,37024.72,268848512
NGSE ALL SHARE INDEX,2013-06-17,37249.93,37272.49,37055.06,37085.12,280695104
NGSE ALL SHARE INDEX,2013-06-14,37406.73,37563.39,36726.85,37249.93,750765824
NGSE ALL SHARE INDEX,2013-06-13,38915.54,38915.54,36112.92,37406.73,447610848
NGSE ALL SHARE INDEX,2013-06-12,40012.66,40743.59,38737.86,38915.54,803592832
NGSE ALL SHARE INDEX,2013-06-11,39737.8,40165.02,39702.09,40012.66,988036352
NGSE ALL SHARE INDEX,2013-06-10,39564.79,39964.57,38028.13,39737.8,735287040
NGSE ALL SHARE INDEX,2013-06-07,39510.11,40364.73,39475.67,39564.79,478342848
NGSE ALL SHARE INDEX,2013-06-06,39453.23,40716.06,39369.05,39510.11,402422336
NGSE ALL SHARE INDEX,2013-06-05,38486.08,39456.87,38463.77,39453.23,442891968
NGSE ALL SHARE INDEX,2013-06-04,37822.99,38509.24,37818.07,38486.08,347134144
NGSE ALL SHARE INDEX,2013-06-03,37795.32,37893.41,37720.38,37822.99,245783024
NGSE ALL SHARE INDEX,2013-05-31,38016.8,38018.93,37628.26,37794.75,372926144
NGSE ALL SHARE INDEX,2013-05-30,37358.74,38040.06,37358.74,38016.8,363334848
NGSE ALL SHARE INDEX,2013-05-28,37386.36,37392.89,37282.8,37358.74,421509184
NGSE ALL SHARE INDEX,2013-05-27,37350.53,37518.44,37320.28,37386.36,345192544
NGSE ALL SHARE INDEX,2013-05-24,36472.43,37350.53,36472.43,37350.53,364220224
NGSE ALL SHARE INDEX,2013-05-23,37313.08,37466.5,36472.43,36472.43,429175328
NGSE ALL SHARE INDEX,2013-05-22,37046.63,37471.61,36985.14,37259.91,468650368
NGSE ALL SHARE INDEX,2013-05-21,36817.75,37212.34,36650.51,37046.63,466667520
